Security Code,Security Id,Security Name,Group,Face Value,Industry,INR
531569,SANJIVIN,SANJIVANI PARANTERAL LTD.,XT,10,Pharmaceuticals,5.1
531686,ADVIKLA,ADVIK LABORATORIES LTD.,XT,10,Pharmaceuticals,5.15
538963,PACT,Pact Industries Ltd,XT,1,Iron &amp; Steel Products,5.16
514460,OSWAYRN,OSWAL YARNS LTD.,XT,10,Comm.Trading  &amp; Distribution,5.17
538476,CTL,Capital Trade Links Ltd,XT,1,Finance (including NBFCs),5.19
526512,INTLNKP,INTERLINK PETROLEUM LTD.,XT,10,Exploration &amp; Production,5.2
530715,ALPSINDUS,ALPS INDUSTRIES LTD.,T ,10,Textiles,5.2
532282,CASTEXTECH,Castex Technologies Ltd-$,B ,2,Auto Parts &amp; Equipment,5.2
538786,CIL,Citizen Infoline Ltd,XT,10,Publishing,5.25
532123,BSELINFRA,BSEL INFRASTRUCTURE REALTY LTD.,B ,10,Realty,5.26
532628,3IINFOTECH,3I INFOTECH LTD.,B ,10,IT Consulting &amp; Software,5.28
526987,URJAGLOBA,URJA GLOBAL LTD.,T ,1,Comm.Trading  &amp; Distribution,5.29
538861,AMSONS,Amsons Apparels Ltd,B ,10,Comm.Trading  &amp; Distribution,5.3
533264,ESL,ELECTROSTEEL STEELS LTD.,T ,10,Construction &amp; Engineering,5.41
511571,SODFC,SOM DATT FINANCE CORPORATION LTD.,XT,10,Finance (including NBFCs),5.46
521082,SPENTEX,SPENTEX INDUSTRIES LTD.,T ,10,Textiles,5.48
537119,TENTIMETAL,Tentiwala Metal Products Ltd,M ,10,Aluminium,5.5
590022,EASTSILK,EASTERN SILK INDUSTRIES LTD.,B ,2,Textiles,5.5
533166,SUNDARAM,SUNDARAM MULTI PAP LTD.,B ,1,Comm.Printing/Stationery,5.53
532368,LYCOS,Lycos Internet Limited,B ,2,IT Software Products,5.56
500024,ASSAMCO,Assam Company (India) Limited,T ,1,Tea &amp; Coffee,5.58
521038,TAMJAIM,TAMILNADU JAIBHARAT MILLS LTD.,XT,10,Textiles,5.6
